population/superpopulation,power,her,num_causals,pheno_num,train,val,test
EAS,-1,0.1,100,1,0.9133919569517779,0.021600269371780542,0.016567780140701167
EAS,-1,0.1,100,2,0.9191935337070176,0.06448383139292516,0.0033579917004755277
EAS,-1,0.1,100,3,0.9079287683090507,0.1112256638374472,0.001141800223796224
EAS,-1,0.1,100,4,0.8689746303689106,0.005584881580418036,0.03614607422877886
EAS,-1,0.1,100,5,0.9253257652285346,0.029609004927166387,0.04984349813346337
EAS,-1,0.1,100,6,0.9058633591935115,0.036713590308418066,0.024099889401332727
EAS,-1,0.1,100,7,0.8852483296150846,0.0652472534905255,0.0037129470251579394
EAS,-1,0.1,100,8,0.9252424440084122,0.057017663492054275,4.657683021490978e-06
EAS,-1,0.1,100,9,0.8197915118147483,0.1280858162827036,0.13877551397515475
EAS,-1,0.1,100,10,0.9303004566579176,0.04688698979292417,0.007209712337112201
EAS,-1,0.1,100,11,0.8523228651987931,0.023812310464105736,2.4162000981409825e-05
EAS,-1,0.1,100,12,0.8679348060163329,0.04556437124977124,0.024661427974606718
EAS,-1,0.1,100,13,0.9225660989145321,0.038004167705689734,0.03885863993560139
EAS,-1,0.1,100,14,0.9174644152325192,0.04078908121072614,0.0291471867483625
EAS,-1,0.1,100,15,0.8819342315447822,0.09328795483448465,0.026864142607171442
EAS,-1,0.1,100,16,0.9235645633466871,0.008116651812026345,0.02534665083312625
EAS,-1,0.1,100,17,0.9166222318785292,0.02194877251496881,0.0038271123002086324
EAS,-1,0.1,100,18,0.9143848699161758,0.04450815952764268,0.008181001389944823
EAS,-1,0.1,100,19,0.8485979756038862,0.04026635371371903,0.08197304452130813
EAS,-1,0.1,100,20,0.9147969178016838,0.017123431700464375,0.017945831767967695
